"class","nBG","mBG","rBG","nTP","mTP","rTP"
TRUE,-0.00776371858188308,0.00167078031755078,0,0.951508999855068,0.000729400586835314,0
TRUE,-0.0225258074686629,0.00498595171004882,0.805095161657772,0.998509772655303,-0.000675425791025929,0
FALSE,-0.541435366862889,0.0001647890713449,0,0.442468222843651,0.00275431004907537,0
FALSE,-0.397685862119752,0.000821675039028759,0,0.818549605230467,-0.00768911889967588,-0.712150371764831
TRUE,-0.00426937781089442,0.00056577384435367,0,0.995094802041532,-8.93560624377296e-05,0
TRUE,-0.00476473647583642,0.000859071170910289,0,0.991280671658947,-0.000177634915041298,0
FALSE,-1.17348704758531,0.00503365122576329,0,0.431079012222874,0.00291005172099417,0
FALSE,-0.873427242557247,0.00904296847975865,0,0.45780220801105,-0.00215353495199102,0
TRUE,-0.0149464911223536,0.000945572783061837,0,0.934637870841238,0.00128265173529872,0
TRUE,-0.0108664995269155,0.000786000762405192,0,0.969771507709244,0.000131586889675854,0
FALSE,-0.652760800076326,0.000670456919150047,0,0.609813764714693,-0.000555835852786348,0
FALSE,-0.725288056021187,-0.00597700874161651,0,0.760927944495993,-0.00147389820859375,0
TRUE,-0.00671889482288252,0.000108510559753998,0,0.888334430887475,0.00220569114475118,0.723134556281119
TRUE,-0.00321379489877714,3.76787846099897e-05,0,1.01453971777065,-0.00103812747343351,0
FALSE,-0.480174210012785,-0.00112382574068083,0,0.690601096749171,-0.00189446950488599,0
FALSE,-0.868055938929543,0.00279551498851977,0,0.742988566349522,-0.00301097625651847,0
TRUE,-0.0136055909086126,0.000420943355313725,0,0.834167346448579,0.00330575563145472,0
TRUE,-0.0337811171353236,0.00112590530192283,0,0.986073634940221,-0.0008479568870671,0
FALSE,-0.90220574023699,0.004927008460141,0,0.506411398588279,0.00375031024650103,0
FALSE,-0.981325074584928,0.00945700577063597,0,0.569956155516589,0.00278311304325817,0
TRUE,-0.0160768145244759,0.000216631802575145,0,0.674978783862222,0.0063506916097459,0.730989944838113
TRUE,-0.0155758409207925,0.00029550940958767,0,0.801339547429848,0.00371976658026737,0
FALSE,-0.951025731630027,0.00685238954126186,0,0.439675676987586,0.00664930121463833,0
FALSE,-0.341263751576982,-0.00209617235924273,0,0.5583816028254,-0.00336430348139926,0
